term,MARD,MOD,SIDD,SIRD
study_aric,"3.9 (3.04, 4.99)","0.43 (0.25, 0.72)","0.48 (0.26, 0.89)","0.01 (0, 0.02)"
study_cardia,"0.03 (0.01, 0.08)","0.59 (0.3, 1.15)","0.03 (0.01, 0.13)","0 (0, Inf)"
study_dppos,"3.1 (1.47, 6.52)","7.03 (3.75, 13.18)","0.29 (0.04, 2.46)","0.03 (0.01, 0.15)"
study_jhs,"5.49 (3.76, 8)","9.31 (5.62, 15.42)","1.13 (0.41, 3.12)","0.01 (0, 0.06)"
study_mesa,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
race_nhwhi,"1.15 (0.91, 1.44)","0.82 (0.56, 1.21)","1.15 (0.56, 2.38)","1.18 (0.86, 1.61)"
race_nhbla,"1.08 (0.86, 1.35)","0.69 (0.49, 0.98)","0.65 (0.31, 1.37)","0.98 (0.69, 1.38)"
race_nhoth,"1.2 (0.92, 1.56)","0.9 (0.56, 1.43)","0.85 (0.34, 2.1)","0.86 (0.54, 1.36)"
race_hisp,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
homa2ir,"0.94 (0.72, 1.21)","11.42 (1.6, 81.68)","23.41 (0.14, 3986.6)","1.54 (0.49, 4.89)"
hba1c,"1.19 (1.04, 1.35)","1.59 (1.32, 1.93)","1.43 (0.9, 2.26)","0.95 (0.75, 1.19)"
female1,"1.15 (0.99, 1.32)","1.45 (1.1, 1.9)","0.79 (0.48, 1.29)","1.06 (0.83, 1.35)"
serumcreatinine,"1.02 (0.8, 1.29)","0.87 (0.5, 1.52)","1.18 (0.83, 1.69)","0.61 (0.31, 1.2)"
uric_acid,"1.05 (1, 1.11)","1.07 (0.99, 1.16)","1 (0.85, 1.18)","1.01 (0.92, 1.1)"
bmi,"1 (0.98, 1.03)","1.02 (0.99, 1.05)","1.03 (0.96, 1.11)","1.07 (1.03, 1.12)"
insulinf,"1.01 (0.99, 1.04)","0.79 (0.65, 0.98)","0.73 (0.42, 1.27)","0.98 (0.87, 1.11)"
age,"0.98 (0.97, 0.99)","0.96 (0.95, 0.97)","0.93 (0.89, 0.96)","1 (0.99, 1.01)"
hc,"0.99 (0.98, 1.01)","1.01 (1, 1.03)","1 (0.97, 1.04)","0.99 (0.97, 1.01)"
glucosef,"1.05 (1.05, 1.06)","1.02 (1, 1.04)","1.05 (1.01, 1.09)","1.09 (1.08, 1.11)"
