term,MARD,MOD,SIDD,SIRD
studydppos,"0.02 (0, 7.40914749232251e+39)","0.02 (0, 32.72)","0 (0, 1.09070580544295e+146)","20892773.24 (0, 1.14638119150191e+22)"
age,"0 (0, 0)","0 (0, 0)","0 (0, 5.98014122570376e+205)","0 (0, 0)"
race_ethNH Black,"0.86 (0.14, 5.13)","0.96 (0.59, 1.58)","2 (0.16, 24.83)","301005.37 (0, 53830372574175.4)"
race_ethNH Other,"7.02 (1.19, 41.53)","0.73 (0.29, 1.82)","3.26 (0.19, 55.3)","1415.66 (0, 1.58093335366017e+64)"
race_ethNH White,"2.93 (0.72, 11.94)","1.38 (0.85, 2.25)","1.41 (0.1, 19.86)","7981481.57 (0, 623271182399870336)"
female1,"2.35 (0.69, 8.03)","1.69 (1.07, 2.67)","0.13 (0.01, 1.54)","0 (0, 92645.05)"
baseline_homa2ir,"19647.29 (0, 3297383216383.03)","33.08 (0.19, 5774.56)","161294718044912 (0, 5.63676507656417e+40)","75.4 (0, 49352512354003230720)"
baseline_hba1c,"2.44 (0.8, 7.43)","1.43 (0.91, 2.27)","0.4 (0.03, 5.98)","2598697.55 (0, 1967753079592014080)"
baseline_serumcreatinine,"2.62 (0.14, 50.33)","1.07 (0.38, 2.99)","0.2 (0, 41.13)","0 (0, 1461728382.9)"
baseline_uric_acid,"0.94 (0.56, 1.57)","1.12 (0.94, 1.34)","1.67 (0.68, 4.13)","0.04 (0, 2.97)"
baseline_bmi,"0.87 (0.71, 1.08)","1.08 (1.01, 1.15)","1.64 (1.12, 2.41)","1.95 (0.64, 5.95)"
baseline_insulinf,"0.34 (0.04, 2.73)","0.7 (0.4, 1.21)","0.03 (0, 20.2)","1.18 (0.02, 76.94)"
baseline_hc,"0.98 (0.89, 1.09)","0.98 (0.95, 1.01)","0.88 (0.72, 1.07)","0.6 (0.29, 1.24)"
baseline_glucosef,"1 (0.9, 1.11)","1.02 (0.99, 1.06)","0.85 (0.62, 1.18)","0.54 (0.13, 2.26)"
change_homa2ir,"15944.46 (0, 3251055931348.54)","3.49 (0.3, 40.56)","7.36 (0, 1092773191625086)","897.13 (0, 448712342397.13)"
change_hba1c,"1.44 (0.47, 4.43)","1.08 (0.71, 1.63)","1.08 (0.15, 7.88)","8723.56 (0, 93110499159.41)"
change_serumcreatinine,"1.82 (0.11, 30.66)","0.95 (0.35, 2.61)","0.21 (0, 39.57)","0 (0, 35064246.29)"
change_uric_acid,"1.05 (0.71, 1.54)","1.02 (0.9, 1.16)","1.41 (0.77, 2.6)","0.13 (0, 3.28)"
change_bmi,"0.75 (0.61, 0.92)","1.04 (0.96, 1.14)","1.14 (0.79, 1.66)","8.43 (0.15, 489.11)"
change_insulinf,"0.34 (0.04, 2.78)","0.89 (0.69, 1.15)","0.81 (0.03, 26.31)","0.74 (0.12, 4.65)"
change_hc,"1.03 (0.95, 1.12)","1.01 (0.98, 1.03)","0.91 (0.8, 1.05)","0.46 (0.13, 1.59)"
change_glucosef,"0.95 (0.86, 1.06)","1 (0.98, 1.02)","1.01 (0.85, 1.21)","0.62 (0.26, 1.51)"
