iv,B_D,W_D,theta_D,T_D,gamma_D,nu,nu2,L,U,sqrt_T_D,HR,lci,uci,model
bmi,1.9696378275960432e-7,5.584950253917292e-6,0.010758844235724875,5.801610414952857e-6,0.0373448310967508,115.2024460941486,6453.294878693091,0.00603708504128839,0.01548060343016136,0.0024086532367596745,"1.01 	 (1.01, 1.02)",1.0060553449662657,1.0156010486905922,Overall
egfr_ckdepi_2021,2.202207809352222e-7,8.756839628802039e-7,0.002813029547131951,1.1179268219089484e-6,0.21668937025331908,16.682897728037478,191.67580442765674,7.275517609823205e-4,0.004898507333281581,0.0010573205861558492,"1 	 (1, 1)",1.0007278164909625,1.0049105246345955,Overall
female1,6.5671020698191986e-6,9.836518295138906e-4,-0.09551581110772839,9.908756417906918e-4,0.007290331876305267,1922.856703881181,169335.45978362887,-0.15721234576991738,-0.0338192764455394,0.0314781772310706,"0.91 	 (0.85, 0.97)",0.8545225852945133,0.9667462026610135,Overall
hba1c,1.7634192638365598e-4,0.004271485834923035,0.18024349793685635,0.004465461953945056,0.043439205399712674,92.27914905859748,4769.564920993964,0.049237399921027214,0.3112495959526855,0.0668241120700085,"1.2 	 (1.05, 1.37)",1.0504697025652356,1.36512990956749,Overall
homa2b,8.47417642135942e-9,4.0938991798156e-7,-0.0058302866824601835,4.187115120450554e-7,0.022262569323607026,261.64788587498686,18159.000466362253,-0.007098623180601313,-0.004561950184319054,6.470792162054468e-4,"0.99 	 (0.99, 1)",0.9929265125334413,0.9954484397050327,Overall
homa2ir,1.8500744615243338e-5,5.893134558110368e-4,0.23370618685819633,6.096642748878045e-4,0.03338037000858021,136.5934018757264,8077.188471208835,0.18530471726535502,0.28210765645103764,0.02469138057881342,"1.26 	 (1.2, 1.33)",1.2035851374270576,1.3259214563017516,Overall
ldlc,8.441109845810145e-9,2.081109845575777e-7,0.0011596584355329875,2.1739620538796886e-7,0.04271105290830905,94.55506696731405,4933.577490612855,2.455859643312534e-4,0.0020737309067347214,4.662576598705579e-4,"1 	 (1, 1)",1.000245616123033,1.0020758825737406,Overall
min_age,3.7056219823560696e-7,2.6618621120738608e-5,0.07318700605887984,2.7026239538797775e-5,0.015082320922746473,510.3459551364186,39564.543070202664,0.06299747521975202,0.08337653689800767,0.0051986767103559895,"1.08 	 (1.07, 1.09)",1.0650241502759727,1.0869510086650211,Overall
raceNH Black,3.739340653612201e-5,0.002357897918531529,0.1308474099256765,0.002399030665721263,0.01714556957418789,407.9281601728932,30615.31100851517,0.0348447732993311,0.2268500465520219,0.04897990062996518,"1.14 	 (1.04, 1.25)",1.0354589654452317,1.2546417159823258,Overall
raceNH White,1.5170789750301677e-5,0.001942015892903627,0.007419292792974435,0.0019587037616289587,0.008519853309238226,1437.3101793042226,123987.60604796166,-0.07932416083969428,0.09416274642564314,0.04425724530095562,"1.01 	 (0.92, 1.1)",0.9237404354311953,1.0987385471384123,Overall
raceOther,7.602774874616259e-6,0.004120175387445394,0.1393264501042108,0.004128538439807472,0.002025669007085201,22740.404763403887,2193337.89752106,0.013391435473557728,0.2652614647348639,0.06425370370498086,"1.15 	 (1.01, 1.3)",1.0134815023380541,1.3037718215704996,Overall
sbp,3.972775713328634e-9,9.974514958116063e-7,0.0011961532123641646,1.0018215490962678e-6,0.004362107491702164,5108.546418789464,472987.629964255,-7.656000654049544e-4,0.0031579064901332836,0.0010009103601703142,"1 	 (1, 1)",0.9992346929315475,1.003162897929617,Overall
bmi,1.609271503216625e-7,1.4973297998102826e-5,-0.050836572294350076,1.5150317863456655e-5,0.011684234413378862,805.1759911219306,65923.76259243746,-0.05846556038832475,-0.04320758420037541,0.0038923409233334962,"0.95 	 (0.94, 0.96)",0.9432107236513586,0.9577125634344409,MARD
egfr_ckdepi_2021,2.2777154251002492e-7,1.775076161272504e-6,0.0029683652555437486,2.0256248580335314e-6,0.123689584360778,26.26999716470816,588.2693876221218,1.7310628728879488e-4,0.005763624223798702,0.001423244482874791,"1 	 (1, 1.01)",1.0001731212710467,1.0057802658625838,MARD
female1,1.1010570129236442e-5,0.0014263139546367705,-0.03472106803073656,0.0014384255817789305,0.008420058218918346,1469.1281344322113,126944.04148582352,-0.10905651052389943,0.03961437446242631,0.03792658146707834,"0.97 	 (0.9, 1.04)",0.8966797442243462,1.0404094883560837,MARD
hba1c,3.918525425802838e-4,0.002714978658450021,0.17419961762046396,0.0031460164552883333,0.1370106618844139,23.908291992709064,479.43946571376273,0.06398826873754915,0.28441096650337877,0.05608936133785384,"1.19 	 (1.07, 1.33)",1.0660798922251373,1.3289789843865103,MARD
homa2b,1.767631463338676e-8,8.308234725858434e-7,-0.009244712957981802,8.502674186825689e-7,0.022868036184254245,250.23278281429648,17210.15445484829,-0.011052121806820197,-0.007437304109143407,9.220994624673462e-4,"0.99 	 (0.99, 0.99)",0.989008728510043,0.9925902842004783,MARD
homa2ir,4.547388160178118e-5,0.0012990810573498064,0.17897929979460173,0.0013491023271117657,0.037077446800531176,116.44939349218095,6546.706460245836,0.10697625913501682,0.2509823404541866,0.03673012832963922,"1.2 	 (1.11, 1.29)",1.1129078327710933,1.2852873865392935,MARD
ldlc,3.1967637071098336e-9,3.528932235770826e-7,3.098593148664657e-4,3.564096636549034e-7,0.00986628713082718,1096.0453108141687,92455.98056034678,-8.602555915679647e-4,0.0014799742213008958,5.970005558246185e-4,"1 	 (1, 1)",0.9991401143221924,1.0014810699236192,MARD
min_age,4.08385414642907e-7,4.167825903431918e-5,0.07689572150542229,4.212748299042637e-5,0.010663441635221491,950.7050967329965,79149.41639406119,0.06417424593350572,0.08961719707733885,0.00649056877249031,"1.08 	 (1.07, 1.09)",1.0662781772118306,1.0937555107503767,MARD
raceNH Black,2.3391079735939124e-5,0.005082265192110987,-0.04438694134066439,0.005107995379820519,0.005037237858746287,3875.8654511046216,354697.0626113648,-0.18446651810129408,0.09569263541996523,0.07147024121842964,"0.96 	 (0.83, 1.1)",0.8315477812318914,1.1004207816372253,MARD
raceNH White,4.628640149260815e-5,0.0037379525569166978,-0.20324637364340556,0.003788867598558567,0.01343806304058739,626.2329062826682,49838.98180059523,-0.3238924917849192,-0.08260025550189194,0.06155377810141768,"0.82 	 (0.72, 0.92)",0.7233280019022763,0.9207191260714139,MARD
raceOther,5.386113502122794e-5,0.009246567824595814,0.20107772872543422,0.009305815073119166,0.0063666909408604845,2482.056233228135,222031.69415869974,0.012005533134123864,0.39014992431674456,0.0964666526480481,"1.22 	 (1.01, 1.48)",1.0120778888132878,1.4772022458191105,MARD
sbp,4.937313145081234e-9,1.231152350690291e-6,0.0014635909749580163,1.2365833951498805e-6,0.0043919758917117645,5041.906834610312,466576.2350901247,-7.15929347666785e-4,0.003643111297582817,0.0011120177135054462,"1 	 (1, 1)",0.9992843268686007,1.0036497554936112,MARD
bmi,7.87734221595502e-8,6.3438840242523294e-6,0.04377442900907978,6.4305347886278345e-6,0.013474892403777045,623.1827532394277,49566.91587604161,0.038804133137933836,0.04874472488022573,0.002535849914452319,"1.04 	 (1.04, 1.05)",1.039566847011742,1.0499522898302998,MOD
egfr_ckdepi_2021,5.070025363673053e-7,1.3080802509618181e-6,0.0037576608302278356,1.8657830409658542e-6,0.2989108474881043,13.716976930549984,100.73007508005351,0.0010479218424559204,0.00646739981799975,0.0013659366899552315,"1 	 (1, 1.01)",1.0010484711043943,1.0064883586067965,MOD
female1,3.307153105115833e-6,0.001575068302903481,-0.06276177226922759,0.0015787061713191085,0.0023043353359338227,17659.588620419912,1694927.5941933098,-0.1406369506548772,0.015113406116422007,0.03973293559906074,"0.94 	 (0.87, 1.02)",0.8688046734159947,1.0152281911740109,MOD
hba1c,7.754419144929662e-5,0.00303077224658775,0.1477085038740422,0.0031160708571819763,0.02737377117007096,186.5791008151427,12010.836207311573,0.0382888036740756,0.25712820407400877,0.055821777624704645,"1.16 	 (1.04, 1.29)",1.0390312655981206,1.2932109110393644,MOD
homa2b,5.602631936673725e-9,4.5813039537848115e-7,-0.004854641783420665,4.6429329050882223e-7,0.013273711372367967,640.1438386003308,51080.8093099764,-0.006190174666806746,-0.003519108900034584,6.813907032744299e-4,"1 	 (0.99, 1)",0.9938289449927096,0.9964870759065608,MOD
