"model","threshold","threshold_value","sensitivity","specificity","f1","c_index","cal_slope"
"overall_coxph",0.1,"0.755 (0.047)","0.204 (0.005)","0.986 (0.003)","0.334 (0.007)","0.864 (0.002)","1.264 (0.022)"
"overall_coxph",0.25,"0.482 (0.050)","0.467 (0.011)","0.930 (0.006)","0.602 (0.012)","0.864 (0.002)","1.264 (0.022)"
"overall_coxph",0.5,"0.226 (0.030)","0.787 (0.006)","0.739 (0.005)","0.749 (0.005)","0.864 (0.002)","1.264 (0.022)"
"overall_coxph",0.75,"0.079 (0.013)","0.961 (0.004)","0.426 (0.003)","0.725 (0.005)","0.864 (0.002)","1.264 (0.022)"
"overall_coxph",0.9,"0.040 (0.007)","0.991 (0.002)","0.176 (0.002)","0.665 (0.005)","0.864 (0.002)","1.264 (0.022)"
"mard_coxph",0.1,"0.328 (0.027)","0.168 (0.006)","0.957 (0.004)","0.276 (0.009)","0.893 (0.003)","0.567 (0.016)"
"mard_coxph",0.25,"0.136 (0.011)","0.381 (0.010)","0.859 (0.007)","0.492 (0.012)","0.893 (0.003)","0.567 (0.016)"
"mard_coxph",0.5,"0.044 (0.005)","0.690 (0.009)","0.658 (0.006)","0.657 (0.007)","0.893 (0.003)","0.567 (0.016)"
"mard_coxph",0.75,"0.014 (0.002)","0.901 (0.005)","0.376 (0.006)","0.680 (0.007)","0.893 (0.003)","0.567 (0.016)"
"mard_coxph",0.9,"0.006 (0.001)","0.966 (0.004)","0.156 (0.003)","0.649 (0.006)","0.893 (0.003)","0.567 (0.016)"
"mod_coxph",0.1,"0.561 (0.050)","0.200 (0.003)","0.983 (0.002)","0.327 (0.004)","0.916 (0.003)","0.514 (0.024)"
"mod_coxph",0.25,"0.279 (0.032)","0.441 (0.007)","0.909 (0.004)","0.569 (0.007)","0.916 (0.003)","0.514 (0.024)"
"mod_coxph",0.5,"0.091 (0.013)","0.729 (0.008)","0.690 (0.005)","0.694 (0.006)","0.916 (0.003)","0.514 (0.024)"
"mod_coxph",0.75,"0.011 (0.002)","0.888 (0.007)","0.365 (0.005)","0.670 (0.006)","0.916 (0.003)","0.514 (0.024)"
"mod_coxph",0.9,"0.002 (0.000)","0.979 (0.002)","0.166 (0.002)","0.657 (0.005)","0.916 (0.003)","0.514 (0.024)"
"sidd_coxph",0.1,"0.008 (0.005)","0.185 (0.009)","0.970 (0.006)","0.303 (0.014)","0.938 (0.016)","0.354 (0.162)"
"sidd_coxph",0.25,"0.002 (0.002)","0.386 (0.021)","0.863 (0.016)","0.498 (0.026)","0.938 (0.016)","0.354 (0.162)"
"sidd_coxph",0.5,"0.001 (0.000)","0.642 (0.027)","0.618 (0.021)","0.612 (0.023)","0.938 (0.016)","0.354 (0.162)"
"sidd_coxph",0.75,"0.000 (0.000)","0.852 (0.021)","0.335 (0.017)","0.643 (0.014)","0.938 (0.016)","0.354 (0.162)"
"sidd_coxph",0.9,"0.000 (0.000)","0.957 (0.007)","0.147 (0.006)","0.642 (0.006)","0.938 (0.016)","0.354 (0.162)"
"sird_coxph",0.1,"0.112 (0.043)","0.200 (0.006)","0.983 (0.004)","0.328 (0.009)","0.865 (0.007)","1.006 (0.076)"
"sird_coxph",0.25,"0.047 (0.016)","0.438 (0.012)","0.906 (0.008)","0.565 (0.013)","0.865 (0.007)","1.006 (0.076)"
"sird_coxph",0.5,"0.019 (0.007)","0.724 (0.016)","0.686 (0.010)","0.689 (0.012)","0.865 (0.007)","1.006 (0.076)"
"sird_coxph",0.75,"0.009 (0.003)","0.897 (0.008)","0.372 (0.006)","0.677 (0.005)","0.865 (0.007)","1.006 (0.076)"
"sird_coxph",0.9,"0.005 (0.002)","0.964 (0.005)","0.154 (0.004)","0.647 (0.007)","0.865 (0.007)","1.006 (0.076)"
