"model","threshold","threshold_value","sensitivity","specificity","f1","c_index","cal_slope"
"overall_coxph",0.1,"0.361 (0.003)","0.324 (0.003)","0.944 (0.001)","0.403 (0.004)","0.818 (0.001)","1.237 (0.012)"
"overall_coxph",0.25,"0.204 (0.003)","0.635 (0.004)","0.826 (0.001)","0.505 (0.004)","0.818 (0.001)","1.237 (0.012)"
"overall_coxph",0.5,"0.092 (0.001)","0.892 (0.003)","0.577 (0.001)","0.443 (0.002)","0.818 (0.001)","1.237 (0.012)"
"overall_coxph",0.75,"0.042 (0.001)","0.977 (0.001)","0.295 (0.000)","0.353 (0.001)","0.818 (0.001)","1.237 (0.012)"
"overall_coxph",0.9,"0.025 (0.001)","0.994 (0.001)","0.119 (0.000)","0.309 (0.000)","0.818 (0.001)","1.237 (0.012)"
"mard_coxph",0.1,"0.109 (0.001)","0.222 (0.007)","0.924 (0.001)","0.276 (0.008)","0.873 (0.001)","0.531 (0.011)"
"mard_coxph",0.25,"0.044 (0.001)","0.455 (0.007)","0.791 (0.001)","0.362 (0.005)","0.873 (0.001)","0.531 (0.011)"
"mard_coxph",0.5,"0.016 (0.000)","0.750 (0.007)","0.549 (0.001)","0.373 (0.004)","0.873 (0.001)","0.531 (0.011)"
"mard_coxph",0.75,"0.006 (0.000)","0.920 (0.004)","0.284 (0.001)","0.332 (0.001)","0.873 (0.001)","0.531 (0.011)"
"mard_coxph",0.9,"0.003 (0.000)","0.976 (0.001)","0.115 (0.000)","0.303 (0.000)","0.873 (0.001)","0.531 (0.011)"
"mod_coxph",0.1,"0.238 (0.002)","0.299 (0.005)","0.939 (0.001)","0.373 (0.006)","0.894 (0.001)","0.505 (0.003)"
"mod_coxph",0.25,"0.098 (0.001)","0.557 (0.003)","0.811 (0.001)","0.443 (0.003)","0.894 (0.001)","0.505 (0.003)"
"mod_coxph",0.5,"0.024 (0.001)","0.778 (0.002)","0.555 (0.000)","0.387 (0.001)","0.894 (0.001)","0.505 (0.003)"
"mod_coxph",0.75,"0.003 (0.000)","0.940 (0.002)","0.288 (0.000)","0.340 (0.001)","0.894 (0.001)","0.505 (0.003)"
"mod_coxph",0.9,"0.001 (0.000)","0.988 (0.002)","0.118 (0.000)","0.307 (0.001)","0.894 (0.001)","0.505 (0.003)"
"sidd_coxph",0.1,"0.007 (0.000)","0.209 (0.004)","0.921 (0.001)","0.260 (0.005)","0.897 (0.003)","0.219 (0.007)"
"sidd_coxph",0.25,"0.002 (0.000)","0.375 (0.004)","0.775 (0.001)","0.299 (0.003)","0.897 (0.003)","0.219 (0.007)"
"sidd_coxph",0.5,"0.001 (0.000)","0.604 (0.009)","0.521 (0.002)","0.300 (0.004)","0.897 (0.003)","0.219 (0.007)"
"sidd_coxph",0.75,"0.000 (0.000)","0.826 (0.006)","0.265 (0.001)","0.298 (0.002)","0.897 (0.003)","0.219 (0.007)"
"sidd_coxph",0.9,"0.000 (0.000)","0.946 (0.003)","0.109 (0.001)","0.293 (0.001)","0.897 (0.003)","0.219 (0.007)"
"sird_coxph",0.1,"0.082 (0.002)","0.280 (0.005)","0.936 (0.001)","0.349 (0.006)","0.806 (0.002)","0.859 (0.029)"
"sird_coxph",0.25,"0.040 (0.002)","0.523 (0.007)","0.804 (0.001)","0.416 (0.005)","0.806 (0.002)","0.859 (0.029)"
"sird_coxph",0.5,"0.019 (0.001)","0.775 (0.006)","0.554 (0.001)","0.385 (0.003)","0.806 (0.002)","0.859 (0.029)"
"sird_coxph",0.75,"0.010 (0.001)","0.923 (0.003)","0.284 (0.001)","0.333 (0.001)","0.806 (0.002)","0.859 (0.029)"
"sird_coxph",0.9,"0.006 (0.000)","0.971 (0.003)","0.114 (0.001)","0.301 (0.001)","0.806 (0.002)","0.859 (0.029)"
